Comment,Designator,Footprint,LCSC
100k,R48,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
2k,R14,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
LED,D6,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
Fuse,F1,3557-2,
1nF,C36,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1k,R37,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R15,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100k,R50,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1nF,C37,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
120,R64,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
2k,R71,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1nF,C35,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C27,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x04,J24,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",
Conn_01x04,J5,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",
90 mA; 30 mA; 36V,F4,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1uF,C50,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C60,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C20,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
AD8495,U20,MSOP-8_3x3mm_P0.65mm,
100k,R86,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100k,R85,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
BTS6143D,U4,TO-252-4,
1nF,C31,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
33u,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
825,R24,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1u,C25,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x04,J14,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
SD36_SOD323,D16,D_SOD-323_HandSoldering,
1k,R28,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100k,R66,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
33V,D29,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
Conn_01x04,J4,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",
SD36_SOD323,D17,D_SOD-323_HandSoldering,
90 mA; 30 mA; 36V,F6,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1nF,C43,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
5V,D10,SOT-23_Handsoldering,
100n,C58,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1uF,C34,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
825,R77,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x02,J8,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x04,J30,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
LED,D8,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100k,R65,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R53,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R47,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1u,C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1k,R74,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R58,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
5V,D7,SOT-23_Handsoldering,
Conn_01x02,J2,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",
100k,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
AD8495,U21,MSOP-8_3x3mm_P0.65mm,
0.1u,C16,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
AD8495,U15,MSOP-8_3x3mm_P0.65mm,
LM3940IMPX-3.3/NOPB,U5,SOT-223,
BTS6143D,U27,TO-252-4,
1k,R36,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100n,C7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
33V,D1,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
90 mA; 30 mA; 36V,F5,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
Conn_01x04,J13,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
1.5k,R89,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
2.2u,C73,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C82,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C66,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10nF,C99,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10uF,C103,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10uF,C90,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10nF,C100,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10uF,C104,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1M,R96,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100n,C76,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10uF,C94,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C80,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10nF,C91,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
50MHz,Y1,Crystal_SMD_EuroQuartz_X22-4Pin_2.5x2.0mm_HandSoldering,
10nF,C105,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1M,R97,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1u,C65,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C106,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C74,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10uF,C95,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1M,R99,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10nF,C102,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
STM32H723ZGTx,U33,LQFP-144_20x20mm_P0.5mm,
49.9,R94,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
49.9,R93,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
2.2k,R90,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1M,R101,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1u,C62,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C92,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C64,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10uF,C107,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10nF,C88,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
FerriteBead,FB2,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10uF,C97,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
49.9,R92,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
DP83848KSQ/NOPB,U32,RTA40,
4.87k,R88,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10nF,C108,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C89,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C109,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C87,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10uF,C98,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C70,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C110,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C101,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C61,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C75,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C83,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
9p,C84,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C63,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
49.9,R91,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
4.7u,C72,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C71,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C69,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
9p,C86,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1M,R102,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100n,C77,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C79,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10nF,C93,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C96,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C85,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
2.2u,C68,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100n,C81,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C67,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1M,R95,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100n,C78,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1M,R98,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1M,R100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
